Scraped At,Top Section,Subcategory,Product Name,Brand (heuristic/listing),Price,Original Price,Discount,Rating (listing),Rating (detail),Reviews Count (listing),Reviews Count (detail),Target Audience,Availability,Seller,Product URL,Image URL (listing),Image URLs (detail),Short Description,Full Description,Breadcrumb,Page
15-08-2025 19:45,Accessories,cheapest item under 100,NAVNEET EDUCATION LIMITED - Other Other ( Pack of 1 ),NAVNEET,Rs. 83,Rs. 90,8% Off,-4,3.3,4,0,Unspecified,In Stock,,https://www.snapdeal.com/product/navneet-education-limited-other-other/634508080337#bcrumbSearch:cheapest%20item%20under%20100,https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Other-Other-SDL197559531-1-10fd1.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Other-Other-SDL197559531-1-10fd1.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Other-Other-SDL197559531-2-1696d.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Other-Other-SDL197559531-3-05305.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Other-Other-SDL197559531-4-d235f.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Other-Other-SDL197559531-5-c678d.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Other-Other-SDL197559531-6-96a4d.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Other-Other-SDL197559531-7-55a57.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Other-Other-SDL197559531-8-5c828.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Other-Other-SDL197559531-9-7b307.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Other-Other-SDL197559531-10-b4747.jpg",,"NAVNEET EDUCATION LIMITED
Binding:Paper Back
Color:Multicolor
Format:Other
No Of Pages:Under 200
Pack:Pack of 1
Product Height (in cm):22
Product Length (in cm):28
Product Weight(in gms):50
Product Width (in cm):22
Type:Other
SUPC: SDL197559531",,1
15-08-2025 19:45,Accessories,cheapest item under 100,Dark Blue Silk Reborn with card holder,Dark,Rs. 81,Rs. 560,86% Off,-5,3.8,5,0,Unspecified,In Stock,,https://www.snapdeal.com/product/dark-blue-silk-reborn-with/647558009413#bcrumbSearch:cheapest%20item%20under%20100,https://g.sdlcdn.com/imgs/j/y/0/Dark-Blue-Silk-Reborn-with-SDL194544947-1-944d0.png?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/j/y/0/Dark-Blue-Silk-Reborn-with-SDL194544947-1-944d0.png, https://g.sdlcdn.com/imgs/j/y/0/Dark-Blue-Silk-Reborn-with-SDL194544947-2-0f560.png",,"Dey 's stationery store
Body Color:Blue
Usage
Manufacturer's Name & Address:Bijoy kumar Dey
SUPC: SDL194544947",,1
15-08-2025 19:45,Accessories,cheapest item under 100,NAVNEET EDUCATION LIMITED - Ruled Subject Notebooks ( Pack of 1 ),NAVNEET,Rs. 111,Rs. 120,8% Off,-26,4.1,26,0,Unspecified,In Stock,,https://www.snapdeal.com/product/navneet-education-limited-ruled-subject/661533663320#bcrumbSearch:cheapest%20item%20under%20100,https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Ruled-Subject-SDL071324477-1-a5e20.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Ruled-Subject-SDL071324477-1-a5e20.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Ruled-Subject-SDL071324477-2-03576.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Ruled-Subject-SDL071324477-3-1eb40.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Ruled-Subject-SDL071324477-4-57903.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Ruled-Subject-SDL071324477-5-59cd7.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Ruled-Subject-SDL071324477-6-d8e09.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Ruled-Subject-SDL071324477-7-7f67a.jpg, https://g.sdlcdn.com/imgs/k/m/b/NAVNEET-EDUCATION-LIMITED-Ruled-Subject-SDL071324477-8-21f60.jpg",,"NAVNEET EDUCATION LIMITED
Binding:Spiral Bound
Color:Blue
Format:Ruled
No Of Pages:Under 200
Pack:Pack of 1
Product Height (in cm):21
Product Length (in cm):14.8
Product Weight(in gms):50
Product Width (in cm):21
Type:Subject Notebooks
SUPC: SDL071324477",,1
15-08-2025 19:45,Accessories,cheapest item under 100,NAVNEET EDUCATION LIMITED - Ruled Composition Notebooks ( Pack of 1 ),NAVNEET,Rs. 111,Rs. 120,8% Off,-28,4.1,28,0,Unspecified,In Stock,,https://www.snapdeal.com/product/navneet-education-limited-ruled-composition/641562904438#bcrumbSearch:cheapest%20item%20under%20100,https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-1-c7e9e.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-1-c7e9e.jpg, https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-2-b4787.jpg, https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-3-56c8a.jpg, https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-4-91d45.jpg, https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-5-07cc9.jpg, https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-6-116e5.jpg, https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-7-1d662.jpg, https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-8-07a1a.jpg, https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-9-ca038.jpg, https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-10-e81b4.jpg, https://g.sdlcdn.com/imgs/k/l/9/NAVNEET-EDUCATION-LIMITED-Ruled-Composition-SDL083943166-11-a026d.jpg",,"NAVNEET EDUCATION LIMITED
Binding:Spiral Bound
Color:Black
Format:Ruled
No Of Pages:Under 200
Pack:Pack of 1
Product Height (in cm):10.5
Product Length (in cm):14.8
Product Weight(in gms):50
Product Width (in cm):10.5
Type:Composition Notebooks
SUPC: SDL083943166",,1
15-08-2025 19:46,Accessories,cheapest item under 100,Dey 's stationery store - Plastic Card Holder ( Pack 1 ),Dey,Rs. 108,Rs. 999,89% Off,-1,3,1,0,Unspecified,In Stock,,https://www.snapdeal.com/product/dey-s-stationery-store-plastic/678852457516#bcrumbSearch:cheapest%20item%20under%20100,https://g.sdlcdn.com/imgs/k/h/m/Dey-s-stationery-store-Plastic-SDL323353437-1-f0b1e.png?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/h/m/Dey-s-stationery-store-Plastic-SDL323353437-1-f0b1e.png, https://g.sdlcdn.com/imgs/k/h/m/Dey-s-stationery-store-Plastic-SDL323353437-2-d9db1.jpg, https://g.sdlcdn.com/imgs/k/h/m/Dey-s-stationery-store-Plastic-SDL323353437-3-721de.png, https://g.sdlcdn.com/imgs/k/h/m/Dey-s-stationery-store-Plastic-SDL323353437-4-9219c.jpg, https://g.sdlcdn.com/imgs/k/h/m/Dey-s-stationery-store-Plastic-SDL323353437-5-eb8a7.jpg",,"Dey 's stationery store
Manufacturer's Name & Address:Dey 's stationery store
Color:Brown
Material:Plastic
Card Slot:1 Slot
Closure:Open
Gender:Unisex
Key Features:ATM + Money Slot,ATM,RFID Protected
Pack:Pack 1
Pattern:Self Design
Type:Card Holder
Product Height (In CM):8
Product Length (In CM):4
Product Width (In CM):4
Warranty:5 Days
SUPC: SDL323353437",,1
15-08-2025 19:46,Accessories,cheapest item under 100,Navneet Youva - Ruled Writing Pad ( Pack of 3 ),Navneet,Rs. 113,Rs. 120,6% Off,-5,4.6,5,0,Unspecified,In Stock,,https://www.snapdeal.com/product/navneet-youva-ruled-writing-pad/646511103015#bcrumbSearch:cheapest%20item%20under%20100,https://g.sdlcdn.com/imgs/k/n/r/Navneet-Youva-Ruled-Writing-Pad-SDL745190833-1-02b81.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/n/r/Navneet-Youva-Ruled-Writing-Pad-SDL745190833-1-02b81.jpg, https://g.sdlcdn.com/imgs/k/n/r/Navneet-Youva-Ruled-Writing-Pad-SDL745190833-2-b96d2.jpg, https://g.sdlcdn.com/imgs/k/n/r/Navneet-Youva-Ruled-Writing-Pad-SDL745190833-3-a7e0c.jpg, https://g.sdlcdn.com/imgs/k/n/r/Navneet-Youva-Ruled-Writing-Pad-SDL745190833-4-a29dd.jpg, https://g.sdlcdn.com/imgs/k/n/r/Navneet-Youva-Ruled-Writing-Pad-SDL745190833-5-737e8.jpg",,"Navneet Youva
Color:Multicolor
Cover Material:Paper
Format:Ruled
No Of Pages:Under 200
Pack:Pack of 3
Product Width (in cm):18
Type:Writing Pad
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL745190833",,1
15-08-2025 19:46,Accessories,cheapest item under 100,Freedy 1 Carton Cutter(9mm) Blade Snap Off Cutter Utility Knives Retractable Snap-Off Knife(any 1 random colour will send)(B),Freedy,Rs. 114,Rs. 499,77% Off,,0,0,0,Unspecified,In Stock,,https://www.snapdeal.com/product/freedy-1-carton-cutter9mm-blade/620218008272#bcrumbSearch:cheapest%20item%20under%20100,https://g.sdlcdn.com/imgs/k/0/v/Freedy-1-Carton-Cutter-9mm-SDL455584685-1-0d3e5.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/0/v/Freedy-1-Carton-Cutter-9mm-SDL455584685-1-0d3e5.jpg, https://g.sdlcdn.com/imgs/k/0/v/Freedy-1-Carton-Cutter-9mm-SDL455584685-2-03c0c.jpg, https://g.sdlcdn.com/imgs/k/0/v/Freedy-1-Carton-Cutter-9mm-SDL455584685-3-1e531.jpg",,"Freedy
Body Color:Multicolor
No. of Pieces:1
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL455584685",,1
15-08-2025 19:46,Accessories,cheapest item under 100,"Seven Seas Water Proof | Smudge Proof | Long Lasting Liquid Color Eyeliner(Silver,5ML)",Seven,Rs. 96,Rs. 175,45% Off,-28,4.6,28,0,Unspecified,In Stock,,https://www.snapdeal.com/product/seven-seas-green-metalic-eye/5764608188777055187#bcrumbSearch:cheapest%20item%20under%20100,https://g.sdlcdn.com/imgs/k/y/v/Seven-Seas-Silver-Metalic-Eye-SDL169037558-1-a3d48.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/y/v/Seven-Seas-Silver-Metalic-Eye-SDL169037558-1-a3d48.jpg, https://g.sdlcdn.com/imgs/k/y/v/Seven-Seas-Silver-Metalic-Eye-SDL169037558-2-6d2d6.jpg, https://g.sdlcdn.com/imgs/k/y/v/Seven-Seas-Silver-Metalic-Eye-SDL169037558-3-255ae.jpg, https://g.sdlcdn.com/imgs/k/y/v/Seven-Seas-Silver-Metalic-Eye-SDL169037558-4-e60d4.jpg, https://g.sdlcdn.com/imgs/k/y/v/Seven-Seas-Silver-Metalic-Eye-SDL169037558-5-eaf65.jpg, https://g.sdlcdn.com/imgs/k/y/v/Seven-Seas-Silver-Metalic-Eye-SDL169037558-6-f0971.jpg",,"Seven Seas
Application Area:Eye
Finish:Metalic
Waterproof:Yes
Lasts (in hrs):24
Formulation:Liquid
Key Features:Waterproof
Shelf Life(in days):1460
Lasts Upto(in days):1
Product Weight:5ML
Pack:Pack of 1
Preference:Cruelty-Free
Product Colour Shade:Green
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL169037558",,1
15-08-2025 19:46,Accessories,cheapest item under 100,"Seven Seas Pro Beauty Ivory Liquid Founadation For All Skin Types, Oil Control, Long Stay 25ml",Seven,Rs. 96,Rs. 249,61% Off,-15,3.7,15,0,Unspecified,In Stock,,https://www.snapdeal.com/product/seven-seas-matte-liquid-for/6917529688643741188#bcrumbSearch:cheapest%20item%20under%20100,,"https://g.sdlcdn.com/imgs/k/y/i/Seven-Seas-Matte-Liquid-For-SDL716836900-1-a4eaa.jpg, https://g.sdlcdn.com/imgs/k/y/i/Seven-Seas-Matte-Liquid-For-SDL716836900-2-7a7d1.jpg, https://g.sdlcdn.com/imgs/k/y/i/Seven-Seas-Matte-Liquid-For-SDL716836900-3-e36c8.jpg, https://g.sdlcdn.com/imgs/k/y/i/Seven-Seas-Matte-Liquid-For-SDL716836900-4-abd20.jpg, https://g.sdlcdn.com/imgs/k/y/i/Seven-Seas-Matte-Liquid-For-SDL716836900-5-e1af1.jpg, https://g.sdlcdn.com/imgs/k/y/i/Seven-Seas-Matte-Liquid-For-SDL716836900-6-c7a42.jpg, https://g.sdlcdn.com/imgs/k/y/i/Seven-Seas-Matte-Liquid-For-SDL716836900-7-a1597.jpg",,"Seven Seas
Base:Water
Finish:Matte
Coverage:Full
SPF Level:SPF 1
Waterproof:Yes
Skin Type:All Skin Types
Skin Tone:Medium
Skin Undertone:Neutral
Concern:Oil Control
Formulation:Liquid
Pack:Pack of 1
Shelf Life(in days):1460
Lasts Upto(in days):1
Product Weight (g):27 g
Product Colour Shade:Ivory
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL716836900",,1
15-08-2025 19:46,Accessories,cheapest item under 100,AanyaCentric Gold Toe Rings ( Pack of 1 ),AanyaCentric,Rs. 88,Rs. 599,85% Off,-2,5,2,0,Unspecified,In Stock,,https://www.snapdeal.com/product/aanyacentric-gold-toe-rings-pack/5764608152092888987#bcrumbSearch:cheapest%20item%20under%20100,,"https://g.sdlcdn.com/imgs/k/x/1/AanyaCentric-Gold-Toe-Rings-Pack-SDL755531827-1-88034.jpg, https://g.sdlcdn.com/imgs/k/x/1/AanyaCentric-Gold-Toe-Rings-Pack-SDL755531827-2-2544f.jpg, https://g.sdlcdn.com/imgs/k/x/1/AanyaCentric-Gold-Toe-Rings-Pack-SDL755531827-3-f7f7f.jpg, https://g.sdlcdn.com/imgs/k/x/1/AanyaCentric-Gold-Toe-Rings-Pack-SDL755531827-4-8ec8d.jpg, https://g.sdlcdn.com/imgs/k/x/1/AanyaCentric-Gold-Toe-Rings-Pack-SDL755531827-5-89819.jpg",,"Material:Brass
Plating:Silver Plated
Stones Used:None
Color:Silver
Type:Toe Rings
Style:Traditional
Jewellery Care:Keep it away from perfumes sprays & water
Collection:Handcrafted
Wearability:Daily
Style Code:ACITR014S
Gross Weight (g):10
Length (in cm):1
Width (in cm):1
Disclaimer:Product colour may slightly vary due to photographic lighting sources or your monitor settings
Warranty:Not Available
Pack:Pack of 1
Key Features:Silver Plated Toe Rings
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL755531827",,1
